timestamp,dem_major,dem_semester,dem_gpa,dem_residence,hap_general_satisfaction,hap_school_energy,hap_meaningful_life,hap_loyalty_choice,aca_curriculum_fit,aca_deadline_pressure,aca_teaching_quality,aca_lms_stability,env_facilities,env_utilities,env_dynamic_culture,soc_friendship_support,soc_activity_integration,soc_family_support,fin_tuition_value,fin_living_cost_worry,fin_job_prospects,wish
2026-01-22 03:22:17,Công nghệ kỹ thuật – Cơ khí – Điện tử,4,5.5,KTX,4,5,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4,Có nhiều cơ hội tìm việc làm 
2026-01-22 03:23:27,Quản Trị Kinh Doanh & Marketing,4,8.5,Ở với gia đình,4,4,4,5,4,4,4,4,5,5,4,4,4,5,4,3,4,Tôi muốn có thêm nhiều hoạt động ngoại khóa để học hỏi thêm 
2026-01-22 03:35:23,Du lịch – Nhà hàng – Khách sạn,1,4.5,Ở trọ,2,4,4,4,3,3,4,4,4,3,3,3,3,4,4,2,3,Học phí thấp
2026-01-22 03:44:09,Ngành Công Nghệ Thông Tin,4,6.5,Ở trọ,4,3,4,4,4,2,3,4,4,3,4,4,3,4,3,2,4,"Mong trường giãn bớt mật độ deadline, tối ưu lịch học – lịch nộp bài hợp lý hơn để sinh viên đỡ burnout, có thêm thời gian self-study, làm project cá nhân và cân bằng cuộc sống."
2026-01-22 03:45:59,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,4,4,4,3,5,4,4,3,4,4,4,4,4,5,4,3,4,tặng tiền:)))
2026-01-22 03:54:28,Quản Trị Kinh Doanh & Marketing,3,6.5,Ở trọ,3,4,4,3,4,3,4,4,5,4,4,5,3,4,4,3,4,Mong muốn được có nhiều trải nghiệm thực tế thú vị hơn nữa cùng với bạn bè và thầy cô
2026-01-22 04:00:22,Thiết kế đồ họa,5,5.5,Ở trọ,3,3,3,4,3,3,4,3,4,3,3,4,3,4,3,1,3,Giảm học phí
2026-01-22 04:40:06,Thiết kế đồ họa,5,7.5,Ở trọ,4,3,5,3,4,3,5,3,5,3,5,5,3,5,3,3,4,ít deadline lại =))
2026-01-22 04:50:21,Ngành Công Nghệ Thông Tin,5,7.5,Ở với gia đình,4,4,4,3,3,3,5,3,5,4,5,5,5,5,5,3,4,Uớc mọi người khi bảo vệ môn đều được 10 điểm 
2026-01-22 04:51:22,Công nghệ kỹ thuật – Cơ khí – Điện tử,4,7.5,Ở trọ,4,3,4,4,4,4,5,4,4,4,4,5,4,5,4,3,4,"Tổ chức nhiều hơn các hoạt động tập thể, phát triển các câu lạc bộ trong trường"
2026-01-22 04:54:19,Ngành Công Nghệ Thông Tin,5,7.5,Ở trọ,4,3,4,4,3,1,3,4,4,4,4,4,4,3,4,3,3,Tôi được nhiều phúc lợi và học bổng được thêm cho nhiều người hơn
2026-01-22 04:54:40,Ngành Công Nghệ Thông Tin,5,8.5,Ở với gia đình,4,3,3,3,3,2,3,3,4,2,4,4,3,4,3,2,3,
2026-01-22 04:55:43,Ngành Công Nghệ Thông Tin,5,9.5,Ở với gia đình,3,5,5,4,4,4,3,4,4,3,4,3,3,4,3,3,3,Ước mỗi sinh viên sau tết được giảm 50% học phí ạ :))
2026-01-22 05:10:51,Thiết kế đồ họa,5,6.5,Ở trọ,4,3,4,3,4,3,4,2,4,3,4,4,4,4,3,2,4,Ko bt 
2026-01-22 05:33:35,Ngành Công Nghệ Thông Tin,5,7.5,Ở với gia đình,3,2,3,2,3,2,2,2,4,2,4,3,3,2,3,2,1,tôi ước ngay từ đầu mình nên có được mục tiêu và xác định rõ cơ hội nghề nghiệp để không vào Fpoly chỉ vì hết hạn đăng kí nguyện vọng Đại Học 
2026-01-22 05:35:43,Logistics & Y tế,5,9.5,Ở với gia đình,2,3,4,3,4,2,4,4,4,3,4,4,4,5,3,2,3,Mong muốn sinh viên nhẹ bớt áp lực trên vai và đừng bao giờ bỏ cuộc 
2026-01-22 05:39:49,Thiết kế đồ họa,5,7.5,Ở với gia đình,4,4,4,4,4,3,4,2,3,3,4,4,3,5,4,3,4,
2026-01-22 05:49:09,Ngành Công Nghệ Thông Tin,5,6.5,Ở với gia đình,3,2,3,1,3,2,1,3,3,3,4,4,2,4,2,2,1,
2026-01-22 06:09:58,Quản Trị Kinh Doanh & Marketing,6,6.5,Ở trọ,4,4,5,4,4,3,4,4,4,5,5,4,4,5,4,1,4,"Không bị nợ môn, rớt môn học, ra trường tìm được việc có thu nhập ổn định và khá tốt"
